ID,technology,source,source_type,year,type,country,capacity_definition,comment,capacity,energy_source_level_0,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology_level
4026,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",2012,"Installed capacity in MW",DE,Unknown,,80167,0,0,1,1,1
4027,Total,EUROSTAT,"Statistical Office",2012,"Installed capacity in MW",DE,Unknown,,178042,1,0,0,0,0
4028,"Biomass and biogas",EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,5411,0,0,0,1,1
4029,"Concentrated solar power",EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,2,0,0,0,0,1
4030,"Fossil fuels",EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,84334,0,1,0,0,0
4031,Geothermal,EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,24,0,0,1,1,1
4032,Hydro,EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,11240,0,0,1,1,0
4033,Marine,EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
4034,"Non-renewable waste",EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,2813,0,0,1,1,1
4035,Nuclear,EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,12068,0,1,1,1,1
4036,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,1623,0,0,0,1,1
4037,Photovoltaics,EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,36709,0,0,0,0,1
4038,"Pumped storage",EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,5650,0,0,0,0,1
4039,Wind,EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,33477,0,0,1,1,0
4040,"Differently categorized solar",EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
4041,Solar,EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,36711,0,0,1,1,0
4042,"Differently categorized wind",EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,33477,0,0,0,0,1
4043,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,7034,0,0,1,0,0
4044,"Renewable energy sources",EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,88486,0,1,0,0,0
4045,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,81521,0,0,1,1,1
4046,Total,EUROSTAT,"Statistical Office",2013,"Installed capacity in MW",DE,Unknown,,184888,1,0,0,0,0
4047,"Biomass and biogas",EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,5669,0,0,0,1,1
4048,"Concentrated solar power",EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,2,0,0,0,0,1
4049,"Fossil fuels",EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,89945,0,1,0,0,0
4050,Geothermal,EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,24,0,0,1,1,1
4051,Hydro,EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,11234,0,0,1,1,0
4052,Marine,EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
4053,"Non-renewable waste",EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,2841,0,0,1,1,1
4054,Nuclear,EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,12074,0,1,1,1,1
4055,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,1589,0,0,0,1,1
4056,Photovoltaics,EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,37898,0,0,0,0,1
4057,"Pumped storage",EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,5654,0,0,0,0,1
4058,Wind,EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,38614,0,0,1,1,0
4059,"Differently categorized solar",EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
4060,Solar,EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,37900,0,0,1,1,0
4061,"Differently categorized wind",EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,38614,0,0,0,0,1
4062,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,7258,0,0,1,0,0
4063,"Renewable energy sources",EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,95030,0,1,0,0,0
4064,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,87104,0,0,1,1,1
4065,Total,EUROSTAT,"Statistical Office",2014,"Installed capacity in MW",DE,Unknown,,197049,1,0,0,0,0
4066,"Biomass and biogas",EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,5875,0,0,0,1,1
4067,"Concentrated solar power",EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,2,0,0,0,0,1
4068,"Fossil fuels",EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,89500,0,1,0,0,0
4069,Geothermal,EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,26,0,0,1,1,1
4070,Hydro,EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,11399,0,0,1,1,0
4071,Marine,EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
4072,"Non-renewable waste",EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,2877,0,0,1,1,1
4073,Nuclear,EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,10799,0,1,1,1,1
4074,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,1592,0,0,0,1,1
4075,Photovoltaics,EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,39243,0,0,0,0,1
4076,"Pumped storage",EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,5666,0,0,0,0,1
4077,Wind,EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,44580,0,0,1,1,0
4078,"Differently categorized solar",EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
4079,Solar,EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,39245,0,0,1,1,0
4080,"Differently categorized wind",EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,44580,0,0,0,0,1
4081,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,7467,0,0,1,0,0
4082,"Renewable energy sources",EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,102717,0,1,0,0,0
4083,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,86623,0,0,1,1,1
4084,Total,EUROSTAT,"Statistical Office",2015,"Installed capacity in MW",DE,Unknown,,203016,1,0,0,0,0
4085,"Biomass and biogas",EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,6070,0,0,0,1,1
4086,"Concentrated solar power",EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,2,0,0,0,0,1
4087,"Fossil fuels",EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,88046,0,1,0,0,0
4088,Geothermal,EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,29,0,0,1,1,1
4089,Hydro,EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,11300,0,0,1,1,0
4090,Marine,EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,0,0,0,1,1,1
4091,"Non-renewable waste",EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,2910,0,0,1,1,1
4092,Nuclear,EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,10799,0,1,1,1,1
4093,"Other bioenergy and renewable waste",EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,1600,0,0,0,1,1
4094,Photovoltaics,EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,40714,0,0,0,0,1
4095,"Pumped storage",EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,5540,0,0,0,0,1
4096,Wind,EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,49592,0,0,1,1,0
4097,"Differently categorized solar",EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,0,0,0,0,0,1
4098,Solar,EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,40716,0,0,1,1,0
4099,"Differently categorized wind",EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,49592,0,0,0,0,1
4100,"Bioenergy and renewable waste",EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,7670,0,0,1,0,0
4101,"Renewable energy sources",EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,109307,0,1,0,0,0
4102,"Differently categorized fossil fuels",EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,85136,0,0,1,1,1
4103,Total,EUROSTAT,"Statistical Office",2016,"Installed capacity in MW",DE,Unknown,,208152,1,0,0,0,0
888,"Biomass and biogas","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,4100,0,0,0,1,1
889,"Fossil fuels","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,76100,0,1,0,0,0
890,"Hard coal","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,29500,0,0,1,1,1
891,Hydro,"ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,9700,0,0,1,1,0
892,Lignite,"ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,21200,0,0,1,1,1
893,"Mixed fossil fuels","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
894,"Natural gas","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,22100,0,0,1,1,0
895,Nuclear,"ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,20300,0,1,1,1,1
896,Offshore,"ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,200,0,0,0,0,1
897,Oil,"ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,3300,0,0,1,1,1
898,Onshore,"ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,28800,0,0,0,0,1
899,"Other or unspecified energy sources","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,3000,0,1,1,1,1
900,"Reservoir including pumped storage","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,6700,0,0,0,0,1
901,Run-of-river,"ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,3000,0,0,0,0,1
902,Solar,"ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,18100,0,0,1,1,0
903,Wind,"ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,28900,0,0,1,1,0
904,"Differently categorized solar","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,18100,0,0,0,0,1
905,"Differently categorized wind","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
906,"Differently categorized hydro","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
907,"Bioenergy and renewable waste","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,4100,0,0,1,0,0
908,"Differently categorized renewable energy sources","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
909,"Differently categorized fossil fuels","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
910,"Renewable energy sources","ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,60800,0,1,0,0,0
911,Total,"ENTSO-E SOAF","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,160200,1,0,0,0,0
912,"Biomass and biogas","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,5000,0,0,0,1,1
913,"Fossil fuels","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,80900,0,1,0,0,0
914,"Hard coal","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,29700,0,0,1,1,1
915,Hydro,"ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,10900,0,0,1,1,0
916,Lignite,"ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,22100,0,0,1,1,1
917,"Mixed fossil fuels","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
918,"Natural gas","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,26000,0,0,1,1,0
919,Nuclear,"ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,12000,0,1,1,1,1
920,Offshore,"ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,200,0,0,0,0,1
921,Oil,"ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,3100,0,0,1,1,1
922,Onshore,"ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,28600,0,0,0,0,1
923,"Other or unspecified energy sources","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,4100,0,1,1,1,1
924,"Reservoir including pumped storage","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,6400,0,0,0,0,1
925,Run-of-river,"ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,4500,0,0,0,0,1
926,Solar,"ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,24100,0,0,1,1,0
927,Wind,"ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,28800,0,0,1,1,0
928,"Differently categorized solar","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,24100,0,0,0,0,1
929,"Differently categorized wind","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
930,"Differently categorized hydro","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
931,"Bioenergy and renewable waste","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,5000,0,0,1,0,0
932,"Differently categorized renewable energy sources","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
933,"Differently categorized fossil fuels","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
934,"Renewable energy sources","ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,68800,0,1,0,0,0
935,Total,"ENTSO-E SOAF","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,165800,1,0,0,0,0
936,"Biomass and biogas","ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,5700,0,0,0,1,1
937,"Fossil fuels","ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,84220,0,1,0,0,0
938,"Hard coal","ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,31080,0,0,1,1,1
939,Hydro,"ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,11150,0,0,1,1,0
940,Lignite,"ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,21280,0,0,1,1,1
941,"Mixed fossil fuels","ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
942,"Natural gas","ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,28020,0,0,1,1,0
943,Nuclear,"ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,12050,0,1,1,1,1
944,Offshore,"ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,400,0,0,0,0,1
945,Oil,"ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,3840,0,0,1,1,1
946,Onshore,"ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,31200,0,0,0,0,1
947,"Other or unspecified energy sources","ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,4440,0,1,1,1,1
948,Solar,"ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,33000,0,0,1,1,0
949,Wind,"ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,31600,0,0,1,1,0
950,"Differently categorized solar","ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,33000,0,0,0,0,1
951,"Differently categorized wind","ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
952,"Bioenergy and renewable waste","ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,5700,0,0,1,0,0
953,"Differently categorized renewable energy sources","ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
954,"Differently categorized fossil fuels","ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
955,"Renewable energy sources","ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,81450,0,1,0,0,0
956,Total,"ENTSO-E SOAF","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,182160,1,0,0,0,0
957,"Biomass and biogas","ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,5880,0,0,0,1,1
958,"Fossil fuels","ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,83150,0,1,0,0,0
959,"Hard coal","ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,30000,0,0,1,1,1
960,Hydro,"ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,10750,0,0,1,1,0
961,Lignite,"ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,21240,0,0,1,1,1
962,"Mixed fossil fuels","ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
963,"Natural gas","ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,28460,0,0,1,1,0
964,Nuclear,"ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,12070,0,1,1,1,1
965,Offshore,"ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,880,0,0,0,0,1
966,Oil,"ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,3450,0,0,1,1,1
967,Onshore,"ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,33840,0,0,0,0,1
968,"Other or unspecified energy sources","ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,5280,0,1,1,1,1
969,Solar,"ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,36330,0,0,1,1,0
970,Wind,"ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,34720,0,0,1,1,0
971,"Differently categorized solar","ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,36330,0,0,0,0,1
972,"Differently categorized wind","ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
973,"Bioenergy and renewable waste","ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,5880,0,0,1,0,0
974,"Differently categorized renewable energy sources","ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
975,"Differently categorized fossil fuels","ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
976,"Renewable energy sources","ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,87680,0,1,0,0,0
977,Total,"ENTSO-E SOAF","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,188180,1,0,0,0,0
978,"Biomass and biogas","ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,6532,0,0,0,1,1
979,"Fossil fuels","ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,78400,0,1,0,0,0
980,"Hard coal","ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,27000,0,0,1,1,1
981,Hydro,"ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,10230,0,0,1,1,0
982,Lignite,"ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,20800,0,0,1,1,1
983,"Mixed fossil fuels","ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
984,"Natural gas","ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,26700,0,0,1,1,0
985,Nuclear,"ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,10800,0,1,1,1,1
986,Offshore,"ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,4159,0,0,0,0,1
987,Oil,"ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,3900,0,0,1,1,1
988,Onshore,"ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,40299.5833333,0,0,0,0,1
989,"Other or unspecified energy sources","ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,4700,0,1,1,1,1
990,Solar,"ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,39321.8333333,0,0,1,1,0
991,Wind,"ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,44458.5833333,0,0,1,1,0
992,"Differently categorized solar","ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,39321.8333333,0,0,0,0,1
993,"Differently categorized wind","ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
994,"Bioenergy and renewable waste","ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,6532,0,0,1,0,0
995,"Differently categorized renewable energy sources","ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,590,0,0,1,1,1
996,"Differently categorized fossil fuels","ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,0,0,0,1,1,1
997,"Renewable energy sources","ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,101132.416667,0,1,0,0,0
998,Total,"ENTSO-E SOAF","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,195032.416667,1,0,0,0,0
41,Hydro,"ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,10780,0,0,1,1,0
42,Hydro,"ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,10708,0,0,1,1,0
43,Hydro,"ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,10700,0,0,1,1,0
44,Hydro,"ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,10800,0,0,1,1,0
45,Hydro,"ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,9209,0,0,1,1,0
46,Hydro,"ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,9610,0,0,1,1,0
249,Reservoir,"ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
250,Reservoir,"ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
251,Reservoir,"ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
252,Reservoir,"ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
253,Reservoir,"ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,584,0,0,0,0,1
254,Reservoir,"ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
457,Run-of-river,"ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
458,Run-of-river,"ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
459,Run-of-river,"ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
460,Run-of-river,"ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
461,Run-of-river,"ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,1910,0,0,0,0,1
462,Run-of-river,"ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
665,"Pumped storage","ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
666,"Pumped storage","ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
667,"Pumped storage","ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
668,"Pumped storage","ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
669,"Pumped storage","ENTSO-E Data Portal","Other association",2011,"Installed capacity in MW",DE,"Net capacity",,6716,0,0,0,0,1
670,"Pumped storage","ENTSO-E Data Portal","Other association",2015,"Installed capacity in MW",DE,"Net capacity",,0,0,0,0,0,1
873,Nuclear,"ENTSO-E Data Portal","Other association",2013,"Installed capacity in MW",DE,"Net capacity",,12068,0,1,1,1,1
874,Nuclear,"ENTSO-E Data Portal","Other association",2014,"Installed capacity in MW",DE,"Net capacity",,12068,0,1,1,1,1
875,Nuclear,"ENTSO-E Data Portal","Other association",2010,"Installed capacity in MW",DE,"Net capacity",,20300,0,1,1,1,1
876,Nuclear,"ENTSO-E Data Portal","Other association",2012,"Installed capacity in MW",DE,"Net capacity",,12068,0,1,1,1,1
